"period";"yearmonth";"profilID";"insurer";"coverage";"type";"date_aspiration";"price"
"Y17W25";"Y17M06";"LOAN2017_106";"Groupe AXA";"Formule Optimum";"CLASSIQUE";"2017-06-24";"3888"
"Y17W25";"Y17M06";"LOAN2017_106";"Zen'up";"Minimum";"RESIDUAL";"2017-06-24";"1921"
"Y17W25";"Y17M06";"LOAN2017_106";"MAAF Assurances";"Formule Optimum";"MUTUELLE";"2017-06-24";"4734"
"Y17W25";"Y17M06";"LOAN2017_106";"Groupe AVIVA";"Formule Optimum";"CLASSIQUE";"2017-06-24";"5851"
"Y17W25";"Y17M06";"LOAN2017_106";"AXA";"Formule Optimum";"CLASSIQUE";"2017-06-24";"5976"
"Y17W25";"Y17M06";"LOAN2017_107";"Groupe AVIVA";"Minimum";"CLASSIQUE";"2017-06-24";"1921"
"Y17W25";"Y17M06";"LOAN2017_107";"AXA";"Minimum";"CLASSIQUE";"2017-06-24";"2195"
"Y17W25";"Y17M06";"LOAN2017_107";"Cardif";"Minimum";"BANCASSUREUR";"2017-06-24";"2223"
"Y17W25";"Y17M06";"LOAN2017_106";"Zen'up";"Formule Optimum";"RESIDUAL";"2017-06-24";"3584"
"Y17W25";"Y17M06";"LOAN2017_107";"Groupe AXA";"Minimum";"CLASSIQUE";"2017-06-24";"2482"
"Y17W25";"Y17M06";"LOAN2017_107";"Zen'up";"Minimum";"RESIDUAL";"2017-06-24";"1712"
"Y17W25";"Y17M06";"LOAN2017_107";"MAAF Assurances";"Minimum";"MUTUELLE";"2017-06-24";"2577"
"Y17W25";"Y17M06";"LOAN2017_107";"Cardif";"Formule Optimum";"BANCASSUREUR";"2017-06-24";"3494"
"Y17W25";"Y17M06";"LOAN2017_107";"Groupe AXA";"Formule Optimum";"CLASSIQUE";"2017-06-24";"3497"
"Y17W25";"Y17M06";"LOAN2017_107";"Groupe AVIVA";"Formule Optimum";"CLASSIQUE";"2017-06-24";"3891"
"Y17W25";"Y17M06";"LOAN2017_108";"AsCourtage";"Formule Optimum";"RESIDUAL";"2017-06-21";"9889"
"Y17W25";"Y17M06";"LOAN2017_107";"SIMPL'ASSUR";"Formule Optimum";"CLASSIQUE";"2017-06-24";"4542"
"Y17W25";"Y17M06";"LOAN2017_107";"MAAF Assurances";"Formule Optimum";"MUTUELLE";"2017-06-24";"5283"
"Y17W25";"Y17M06";"LOAN2017_107";"AXA";"Formule Optimum";"CLASSIQUE";"2017-06-24";"7116"
"Y17W25";"Y17M06";"LOAN2017_108";"AsCourtage";"Minimum";"RESIDUAL";"2017-06-21";"4445"
"Y17W25";"Y17M06";"LOAN2017_108";"AsCourtage";"Formule Optimum";"RESIDUAL";"2017-06-25";"9888"
"Y17W25";"Y17M06";"LOAN2017_109";"AsCourtage";"Minimum";"RESIDUAL";"2017-06-24";"6112"
